crate,test,rust_status,rust_mean_s,rust_min_s,rust_max_s,miri_status,miri_mean_s,miri_min_s,miri_max_s,bsan_status,bsan_mean_s,bsan_min_s,bsan_max_s
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_multi_task_recv_then_send,success,0.1192524958,0.114123421,0.122524189,success,14.0031685372,13.90746088,14.094824405,,,,
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_multi_thread_close_stress,success,0.11846782339999999,0.11420941500000001,0.12537747500000002,success,14.2425696506,14.053094667,14.537487004,,,,
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_multi_thread_recv_close_stress,success,0.12027999210000002,0.11729795200000001,0.124803644,success,14.1889991394,14.134762435,14.242912501,,,,
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_multi_thread_send_close_stress,success,0.1195427019,0.11499758800000001,0.127120915,success,14.3007464216,14.220093279,14.383420384,,,,
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_multi_thread_send_recv_stress,success,0.12102639340000002,0.115043088,0.129707867,success,14.1278260918,13.915662344,14.406986675,,,,
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_single_thread_close_chan_first,success,0.11904219059999999,0.114843842,0.128482749,success,13.8349441814,13.652644072,13.95892643,,,,
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_single_thread_close_port_first,success,0.11978030220000002,0.11718015000000001,0.12622212500000002,success,13.87439496,13.802011749,13.93103635,,,,
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_single_thread_peek_close,success,0.11812535200000003,0.115515161,0.12324833700000001,success,13.9470546002,13.828285916,14.030052933,,,,
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_single_thread_peek_data,success,0.1178993454,0.11354051100000001,0.12350319600000001,success,13.9119621188,13.829611498,14.056296459,,,,
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_single_thread_peek_open,success,0.11866743330000003,0.11522030500000001,0.12289295,success,14.0249549832,13.851200424,14.354045285,,,,
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_single_thread_recv_chan_close,success,0.1179237976,0.11586070100000001,0.120579923,success,13.9851989922,13.763252561,14.077984201,,,,
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_single_thread_send_port_close,success,0.12091461920000002,0.11618984,0.12759684500000001,success,14.042155554799999,13.785784494,14.310494459,,,,
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_single_thread_send_then_recv,success,0.12124364470000001,0.11751388800000001,0.12516233200000002,success,14.229099528199999,14.119786907,14.390872071,,,,
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_single_thread_try_recv_closed,success,0.11902366980000001,0.115287841,0.126670264,success,14.158110102,14.038702386,14.357145814,,,,
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_single_thread_try_recv_closed_with_data,success,0.1189630602,0.116822436,0.121353237,success,13.924989264199999,13.755710348000001,14.130598295,,,,
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_single_thread_try_recv_open,success,0.119929201,0.11636540100000001,0.13369217900000002,success,13.772893786800001,13.619956837,13.921366241,,,,
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_single_thread_try_send_closed,success,0.12104242470000001,0.117147444,0.12369563900000001,success,13.947472199,13.723479306,14.063925709,,,,
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_single_thread_try_send_closed2,success,0.12075067610000001,0.116091734,0.125384772,success,14.068609425,13.840392702,14.19305184,,,,
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_single_thread_try_send_open,success,0.11976135759999999,0.11681259100000001,0.126391196,success,13.8592226068,13.667331604,14.003424314,,,,
crossbeam-channel-0.5.15,sync_channel_tests::port_gone_concurrent,success,0.1199010081,0.11508483600000001,0.12689254800000002,success,13.861269378200001,13.68244657,13.93878144,,,,
crossbeam-channel-0.5.15,sync_channel_tests::port_gone_concurrent_shared,success,0.1211987548,0.11578271500000001,0.128457408,success,13.9072051784,13.725767456,14.210758332,,,,
crossbeam-channel-0.5.15,sync_channel_tests::recv_a_lot,success,0.12048069929999998,0.116629459,0.125599251,success,16.129696511200002,15.958125151,16.372263598,,,,
crossbeam-channel-0.5.15,sync_channel_tests::recv_timeout,success,0.1205795859,0.118746004,0.12383619100000001,success,13.816229196399998,13.769683105,13.857264339,,,,
crossbeam-channel-0.5.15,sync_channel_tests::send1,success,0.11975885000000001,0.114806823,0.12886652,success,13.9628428144,13.761299339,14.151666801,,,,
crossbeam-channel-0.5.15,sync_channel_tests::send2,success,0.12132422000000001,0.11652572600000001,0.12862515600000002,success,13.7148962944,13.603353456,13.952641604,,,,
crossbeam-channel-0.5.15,sync_channel_tests::send3,success,0.1207378297,0.116052948,0.131958095,success,13.7980292994,13.60577222,14.034873965,,,,
crossbeam-channel-0.5.15,sync_channel_tests::send4,success,0.11932221520000001,0.11549977900000001,0.12483389700000001,success,13.945747225400002,13.875357262,14.142338323,,,,
crossbeam-channel-0.5.15,sync_channel_tests::shared_chan_stress,success,0.1246757594,0.121879334,0.130137574,success,17.4875193414,17.414385742,17.535568054,,,,
crossbeam-channel-0.5.15,sync_channel_tests::smoke,success,0.11964279950000004,0.11517631800000001,0.132889639,success,14.0242277444,13.775068184,14.198234442,,,,
crossbeam-channel-0.5.15,sync_channel_tests::smoke_chan_gone,success,0.1167989897,0.11449218000000001,0.12035609300000001,success,13.789712445000001,13.70327942,13.883394228,,,,
crossbeam-channel-0.5.15,sync_channel_tests::smoke_chan_gone_shared,success,0.11987427380000001,0.117410726,0.12270686300000001,success,13.926262984800001,13.765748151,14.134074007,,,,
crossbeam-channel-0.5.15,sync_channel_tests::smoke_port_gone,success,0.1197735046,0.115239931,0.127804848,success,13.9127916764,13.74489758,14.083368546,,,,
crossbeam-channel-0.5.15,sync_channel_tests::smoke_shared,success,0.11973920450000002,0.11452015300000001,0.12448682600000001,success,13.8315935852,13.666704798,14.010764866,,,,
crossbeam-channel-0.5.15,sync_channel_tests::smoke_shared_port_gone2,success,0.11818163479999999,0.114903034,0.12386049900000001,success,13.8865896714,13.753502268,13.995478046,,,,
crossbeam-channel-0.5.15,sync_channel_tests::smoke_threads,success,0.1202096309,0.11607674000000001,0.124648506,success,13.749682363400002,13.64586257,14.026769994,,,,
crossbeam-channel-0.5.15,sync_channel_tests::stream_send_recv_stress,success,0.11951999660000001,0.11634366800000001,0.12261279200000001,success,14.704770987999998,14.470281493,15.138077878,,,,
crossbeam-channel-0.5.15,sync_channel_tests::stress,success,0.16280983940000004,0.153178049,0.201122678,success,14.946304777400002,14.737236892,15.094820404,,,,
crossbeam-channel-0.5.15,sync_channel_tests::stress_recv_timeout_shared,success,0.15265505110000002,0.148758576,0.159016191,success,22.381160243,21.933163449,23.067980807,,,,
crossbeam-channel-0.5.15,sync_channel_tests::stress_recv_timeout_two_threads,success,0.1613093821,0.15207899600000002,0.20618601,success,15.5572235796,15.31514879,15.732629808,,,,
crossbeam-channel-0.5.15,sync_channel_tests::stress_shared,success,0.1497761912,0.144700515,0.155977906,success,21.7333734196,21.657262338,21.831436161,,,,
crossbeam-channel-0.5.15,sync_channel_tests::test_nested_recv_iter,success,0.11843597650000001,0.114951361,0.123095929,success,14.035836431200002,13.616660644,14.79737727,,,,
crossbeam-channel-0.5.15,sync_channel_tests::test_recv_iter_break,success,0.1201180967,0.11637752000000001,0.126337684,success,14.0844318472,13.934153075,14.183971862,,,,
