crate,name,version,repository,host,extern_c,extern_c_unwind,extern_cpp,matched_files,status
objc2-accessibility-0.3.2,objc2-accessibility,0.3.2,https://github.com/madsmtm/objc2,github,14,16,0,5,"extern ""C"" + extern ""C-unwind"""
objc2-accessory-setup-kit-0.3.2,objc2-accessory-setup-kit,0.3.2,https://github.com/madsmtm/objc2,github,5,0,0,3,"extern ""C"""
objc2-accounts-0.3.2,objc2-accounts,0.3.2,https://github.com/madsmtm/objc2,github,17,0,0,4,"extern ""C"""
objc2-ad-services-0.3.2,objc2-ad-services,0.3.2,https://github.com/madsmtm/objc2,github,2,0,0,2,"extern ""C"""
objc2-ad-support-0.3.2,objc2-ad-support,0.3.2,https://github.com/madsmtm/objc2,github,1,0,0,1,"extern ""C"""
objc2-app-clip-0.3.2,objc2-app-clip,0.3.2,https://github.com/madsmtm/objc2,github,2,0,0,2,"extern ""C"""
objc2-app-kit-0.3.2,objc2-app-kit,0.3.2,https://github.com/madsmtm/objc2,github,1461,134,0,83,"extern ""C"" + extern ""C-unwind"""
objc2-app-tracking-transparency-0.3.2,objc2-app-tracking-transparency,0.3.2,https://github.com/madsmtm/objc2,github,3,0,0,1,"extern ""C"""
objc2-application-services-0.3.2,objc2-application-services,0.3.2,https://github.com/madsmtm/objc2,github,26,416,0,12,"extern ""C"" + extern ""C-unwind"""
objc2-ar-kit-0.3.2,objc2-ar-kit,0.3.2,https://github.com/madsmtm/objc2,github,65,3,0,7,"extern ""C"" + extern ""C-unwind"""
objc2-audio-toolbox-0.3.2,objc2-audio-toolbox,0.3.2,https://github.com/madsmtm/objc2,github,28,474,0,19,"extern ""C"" + extern ""C-unwind"""
objc2-authentication-services-0.3.2,objc2-authentication-services,0.3.2,https://github.com/madsmtm/objc2,github,38,2,0,13,"extern ""C"" + extern ""C-unwind"""
objc2-automatic-assessment-configuration-0.3.2,objc2-automatic-assessment-configuration,0.3.2,https://github.com/madsmtm/objc2,github,4,0,0,1,"extern ""C"""
